Club,Total Market Value
Chelsea FC,€11.14m
Manchester United,€9.33m
Liverpool FC,€7.45m
Arsenal FC,€7.50m
Tottenham Hotspur,€5.80m
Everton FC,€4.85m
Manchester City,€4.17m
Portsmouth FC,€4.28m
Newcastle United,€4.10m
Middlesbrough FC,€3.56m
West Ham United,€3.33m
Aston Villa,€4.48m
Bolton Wanderers,€2.48m
Fulham FC,€2.30m
Blackburn Rovers,€2.39m
Sunderland AFC,€1.82m
Birmingham City,€2.50m
Wigan Athletic,€2.22m
Reading FC,€1.53m
Derby County,€1.23m
Man Utd,1
Chelsea,2
Arsenal,3
Liverpool,4
Everton,5
Aston Villa,6
Blackburn,7
Portsmouth,8
Man City,9
West Ham,10
Tottenham,11
Newcastle,12
Middlesbrough,13
Wigan,14
Sunderland,15
Bolton,16
Fulham,17
Reading,18
Birmingham,19
Derby,20
