Club,Total Market Value
Manchester City,€29.01m
Liverpool FC,€22.55m
Chelsea FC,€22.80m
Manchester United,€19.74m
Tottenham Hotspur,€17.16m
Arsenal FC,€14.74m
Everton FC,€11.62m
Leicester City,€12.77m
Wolverhampton Wanderers,€11.85m
Aston Villa,€8.13m
West Ham United,€8.59m
Brighton & Hove Albion,€6.31m
Southampton FC,€7.25m
Newcastle United,€7.74m
Fulham FC,€6.31m
Leeds United,€6.11m
Crystal Palace,€5.38m
Sheffield United,€3.75m
West Bromwich Albion,€3.28m
Burnley FC,€4.13m
Man City,1
Man Utd,2
Liverpool,3
Chelsea,4
Leicester,5
West Ham,6
Tottenham,7
Arsenal,8
Leeds,9
Everton,10
Aston Villa,11
Newcastle,12
Wolves,13
Crystal Palace,14
Southampton,15
Brighton,16
Burnley,17
Fulham,18
West Brom,19
Sheff Utd,20
