Club,Total Market Value
Manchester City,€33.70m
Arsenal FC,€23.83m
Chelsea FC,€23.14m
Manchester United,€17.66m
Liverpool FC,€20.82m
Tottenham Hotspur,€19.09m
Newcastle United,€14.25m
Brighton & Hove Albion,€12.61m
Aston Villa,€11.85m
Wolverhampton Wanderers,€11.57m
Leicester City,€12.91m
West Ham United,€10.58m
Southampton FC,€9.13m
Everton FC,€10.33m
Nottingham Forest,€7.53m
Brentford FC,€10.31m
Leeds United,€7.34m
Crystal Palace,€8.28m
Fulham FC,€6.28m
AFC Bournemouth,€6.11m
Man City,1
Arsenal,2
Man Utd,3
Newcastle,4
Liverpool,5
Brighton,6
Aston Villa,7
Tottenham,8
Brentford,9
Fulham,10
Crystal Palace,11
Chelsea,12
Wolves,13
West Ham,14
Bournemouth,15
Nottm Forest,16
Everton,17
Leicester,18
Leeds,19
Southampton,20
