Club,Total Market Value
Chelsea FC,€13.84m
Manchester City,€13.14m
Arsenal FC,€11.17m
Manchester United,€10.00m
Liverpool FC,€8.53m
Tottenham Hotspur,€12.00m
Everton FC,€6.41m
Southampton FC,€6.44m
West Ham United,€4.03m
Newcastle United,€4.71m
Leicester City,€4.60m
Stoke City,€4.74m
Swansea City,€4.05m
Watford FC,€3.51m
Crystal Palace,€3.57m
Aston Villa,€2.68m
Norwich City,€2.85m
West Bromwich Albion,€3.23m
Sunderland AFC,€2.65m
AFC Bournemouth,€2.04m
Leicester,1
Arsenal,2
Tottenham,3
Man City,4
Man Utd,5
Southampton,6
West Ham,7
Liverpool,8
Stoke City,9
Chelsea,10
Everton,11
Swansea,12
Watford,13
West Brom,14
Crystal Palace,15
Bournemouth,16
Sunderland,17
Newcastle,18
Norwich,19
Aston Villa,20
