Club,Total Market Value
Manchester City,€25.74m
Liverpool FC,€18.75m
Chelsea FC,€20.78m
Manchester United,€17.89m
Tottenham Hotspur,€15.32m
Arsenal FC,€14.95m
Leicester City,€13.16m
Aston Villa,€11.09m
Everton FC,€11.41m
Wolverhampton Wanderers,€9.92m
West Ham United,€9.59m
Brighton & Hove Albion,€7.40m
Newcastle United,€9.23m
Leeds United,€8.56m
Southampton FC,€8.31m
Brentford FC,€7.19m
Crystal Palace,€8.21m
Norwich City,€3.63m
Watford FC,€3.32m
Burnley FC,€3.94m
Man City,1
Liverpool,2
Chelsea,3
Tottenham,4
Arsenal,5
Man Utd,6
West Ham,7
Leicester,8
Brighton,9
Wolves,10
Newcastle,11
Crystal Palace,12
Brentford,13
Aston Villa,14
Southampton,15
Everton,16
Leeds,17
Burnley,18
Watford,19
Norwich,20
