Club,Total Market Value
Chelsea FC,€14.01m
Manchester City,€16.47m
Tottenham Hotspur,€14.31m
Arsenal FC,€12.90m
Manchester United,€12.65m
Liverpool FC,€11.20m
Everton FC,€7.98m
West Ham United,€6.21m
Southampton FC,€7.33m
Crystal Palace,€5.08m
Leicester City,€7.05m
Stoke City,€5.47m
Watford FC,€3.82m
Swansea City,€4.25m
Hull City,€3.23m
Sunderland AFC,€3.14m
AFC Bournemouth,€3.21m
Middlesbrough FC,€3.68m
West Bromwich Albion,€4.11m
Burnley FC,€2.98m
Chelsea,1
Tottenham,2
Man City,3
Liverpool,4
Arsenal,5
Man Utd,6
Everton,7
Southampton,8
Bournemouth,9
West Brom,10
West Ham,11
Leicester,12
Stoke City,13
Crystal Palace,14
Swansea,15
Burnley,16
Watford,17
Hull City,18
Middlesbrough,19
Sunderland,20
