Club,Total Market Value
Manchester City,€31.53m
Chelsea FC,€19.22m
Liverpool FC,€24.50m
Manchester United,€24.27m
Tottenham Hotspur,€24.40m
Arsenal FC,€15.42m
Everton FC,€7.94m
Leicester City,€8.95m
Southampton FC,€10.24m
West Ham United,€6.36m
Crystal Palace,€5.38m
Newcastle United,€5.63m
Watford FC,€5.30m
Stoke City,€5.50m
Burnley FC,€5.64m
West Bromwich Albion,€5.03m
Swansea City,€4.60m
Brighton & Hove Albion,€3.80m
AFC Bournemouth,€4.13m
Huddersfield Town,€3.03m
Man City,1
Man Utd,2
Tottenham,3
Liverpool,4
Chelsea,5
Arsenal,6
Burnley,7
Everton,8
Leicester,9
Newcastle,10
Crystal Palace,11
Bournemouth,12
West Ham,13
Watford,14
Brighton,15
Huddersfield,16
Southampton,17
Swansea,18
Stoke City,19
West Brom,20
