Club,Total Market Value
Chelsea FC,€12.55m
Manchester United,€9.62m
Liverpool FC,€9.75m
Arsenal FC,€6.98m
Manchester City,€7.81m
Tottenham Hotspur,€6.43m
Everton FC,€5.21m
Aston Villa,€5.40m
Sunderland AFC,€3.46m
West Ham United,€3.48m
Fulham FC,€2.47m
Portsmouth FC,€2.15m
Blackburn Rovers,€2.62m
Bolton Wanderers,€2.68m
Stoke City,€2.07m
Wigan Athletic,€2.16m
Hull City,€1.98m
Birmingham City,€1.93m
Wolverhampton Wanderers,€1.77m
Burnley FC,€1.46m
Chelsea,1
Man Utd,2
Arsenal,3
Tottenham,4
Man City,5
Aston Villa,6
Liverpool,7
Everton,8
Birmingham,9
Blackburn,10
Stoke City,11
Fulham,12
Sunderland,13
Bolton,14
Wolves,15
Wigan,16
West Ham,17
Burnley,18
Hull City,19
Portsmouth,20
