Club,Total Market Value
Manchester City,€12.25m
Manchester United,€11.16m
Chelsea FC,€13.36m
Arsenal FC,€7.07m
Tottenham Hotspur,€7.24m
Liverpool FC,€6.73m
Newcastle United,€5.13m
Everton FC,€4.82m
Sunderland AFC,€3.62m
Queens Park Rangers,€3.16m
Aston Villa,€3.35m
Fulham FC,€2.97m
Stoke City,€3.47m
West Ham United,€2.64m
Swansea City,€3.10m
West Bromwich Albion,€2.92m
Wigan Athletic,€2.47m
Southampton FC,€2.08m
Norwich City,€2.03m
Reading FC,€1.32m
Man Utd,1
Man City,2
Chelsea,3
Arsenal,4
Tottenham,5
Everton,6
Liverpool,7
West Brom,8
Swansea,9
West Ham,10
Norwich,11
Fulham,12
Stoke City,13
Southampton,14
Aston Villa,15
Newcastle,16
Sunderland,17
Wigan,18
Reading,19
QPR,20
