Club,Total Market Value
Manchester City,€25.61m
Liverpool FC,€30.06m
Chelsea FC,€21.60m
Tottenham Hotspur,€26.43m
Manchester United,€22.16m
Arsenal FC,€15.69m
Everton FC,€13.23m
Leicester City,€11.73m
West Ham United,€9.70m
AFC Bournemouth,€8.38m
Southampton FC,€7.64m
Wolverhampton Wanderers,€7.57m
Crystal Palace,€8.03m
Fulham FC,€7.70m
Newcastle United,€6.61m
Watford FC,€6.13m
Burnley FC,€5.98m
Brighton & Hove Albion,€4.74m
Huddersfield Town,€4.17m
Cardiff City,€3.23m
Man City,1
Liverpool,2
Chelsea,3
Tottenham,4
Arsenal,5
Man Utd,6
Wolves,7
Everton,8
Leicester,9
West Ham,10
Watford,11
Crystal Palace,12
Newcastle,13
Bournemouth,14
Burnley,15
Southampton,16
Brighton,17
Cardiff,18
Fulham,19
Huddersfield,20
