Club,Total Market Value
Chelsea FC,€14.66m
Manchester United,€11.75m
Manchester City,€13.18m
Arsenal FC,€9.88m
Liverpool FC,€9.28m
Tottenham Hotspur,€7.24m
Southampton FC,€5.68m
Everton FC,€4.57m
Newcastle United,€3.33m
West Ham United,€3.78m
Swansea City,€3.63m
Hull City,€3.35m
Aston Villa,€3.01m
Queens Park Rangers,€2.74m
Stoke City,€3.68m
Crystal Palace,€2.32m
West Bromwich Albion,€2.82m
Sunderland AFC,€2.68m
Leicester City,€1.80m
Burnley FC,€1.75m
Chelsea,1
Man City,2
Arsenal,3
Man Utd,4
Tottenham,5
Liverpool,6
Southampton,7
Swansea,8
Stoke City,9
Crystal Palace,10
Everton,11
West Ham,12
West Brom,13
Leicester,14
Newcastle,15
Sunderland,16
Aston Villa,17
Hull City,18
Burnley,19
QPR,20
