Club,Total Market Value
Manchester City,€29.96m
Liverpool FC,€17.90m
Tottenham Hotspur,€22.41m
Chelsea FC,€19.61m
Manchester United,€15.59m
Arsenal FC,€15.99m
Everton FC,€12.02m
Leicester City,€12.85m
Wolverhampton Wanderers,€7.28m
West Ham United,€7.99m
AFC Bournemouth,€6.98m
Newcastle United,€6.16m
Aston Villa,€6.10m
Southampton FC,€5.85m
Brighton & Hove Albion,€4.46m
Watford FC,€4.64m
Crystal Palace,€5.74m
Burnley FC,€4.68m
Norwich City,€3.82m
Sheffield United,€4.08m
Liverpool,1
Man City,2
Man Utd,3
Chelsea,4
Leicester,5
Tottenham,6
Wolves,7
Arsenal,8
Sheff Utd,9
Burnley,10
Southampton,11
Everton,12
Newcastle,13
Crystal Palace,14
Brighton,15
West Ham,16
Aston Villa,17
Bournemouth,18
Watford,19
Norwich,20
