MarketValue_Differential,away_elo,home_elo,home_rolling_relative_shots,away_rolling_relative_shots,home_rolling_shot_efficiency,away_rolling_shot_efficiency,home_rolling_fouls,away_rolling_fouls,h2h_goal_difference,home_rolling_goals_scored,away_rolling_goals_scored,home_rolling_discipline_score,away_rolling_discipline_score,home_rolling_goals_conceded,away_rolling_goals_conceded,month,day_of_week,FTR,Date,HomeTeam,AwayTeam
2.3499999999999996,1500.0,1487.5323013514965,0.0,-13.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5,4,H,2007-05-11,Man City,Sunderland
-3.4000000000000004,1524.1326660462137,1486.6488231970545,8.5,3.0,0.060714285714285714,0.14285714285714285,15.0,10.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,5,5,D,2007-05-12,Newcastle,Arsenal
7.109999999999999,1475.8662156126695,1525.4033321157651,8.0,-13.0,0.09607843137254901,0.0,6.5,18.0,0.0,1.5,0.0,1.5,6.0,0.0,1.0,6,6,H,2007-06-10,Man United,Wigan
1.1500000000000004,1498.7008127934555,1512.4833808022927,-2.3333333333333335,-3.0,0.14882154882154883,0.11538461538461539,13.333333333333334,18.5,0.0,1.6666666666666667,1.5,2.3333333333333335,2.0,0.6666666666666666,0.5,6,6,H,2007-06-10,Aston Villa,West Ham
-0.10999999999999988,1488.366752054676,1524.9365563638873,2.0,-7.666666666666667,0.09775641025641026,0.19047619047619047,17.0,15.666666666666666,0.0,1.3333333333333333,1.3333333333333333,3.0,1.6666666666666667,0.3333333333333333,2.3333333333333335,7,1,H,2007-07-10,Blackburn,Birmingham
-8.66,1511.6188574555506,1476.7475556708528,-2.0,7.0,0.07692307692307693,0.07692307692307693,8.0,10.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,7,1,A,2007-07-10,Bolton,Chelsea
-1.9800000000000004,1501.2845535549045,1499.6133610081076,-2.0,0.5,0.28205128205128205,0.23333333333333334,12.0,13.5,0.0,3.0,2.5,3.0,2.0,2.0,2.0,7,1,A,2007-07-10,Fulham,Portsmouth
0.6099999999999999,1510.7202532490494,1500.4806704253801,-1.0,4.0,0.14285714285714285,0.0625,11.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,7,1,H,2007-07-10,Man City,Middlesbrough
-0.75,1524.133247945324,1487.99220472978,7.666666666666667,-7.0,0.06825396825396825,0.06666666666666667,13.0,11.5,0.0,1.0,1.0,2.3333333333333335,2.5,1.6666666666666667,0.5,7,1,H,2007-07-10,Newcastle,Everton
5.68,1487.0516309261163,1522.7892845134882,0.5,-6.0,0.2125,0.0,10.5,10.5,0.0,2.5,0.0,2.0,1.5,1.5,1.0,7,1,H,2007-07-10,Arsenal,Sunderland
0.30000000000000004,1463.4306055481256,1476.315162251582,-4.0,-9.0,0.041666666666666664,0.0,10.5,16.333333333333332,0.0,0.5,0.0,1.0,1.6666666666666667,2.0,3.0,7,1,H,2007-07-10,Reading,Derby
1.6500000000000004,1487.932318868004,1524.1332441109887,14.5,2.0,0.23695652173913043,0.17094017094017094,10.5,9.5,0.0,5.0,2.0,0.0,0.0,0.0,2.0,7,1,D,2007-07-10,Liverpool,Tottenham
1.5999999999999996,1477.1776191104634,1501.7878135461385,6.75,-8.5,0.10119047619047619,0.1845238095238095,13.0,15.0,0.0,1.5,1.25,2.25,1.5,1.75,2.25,8,6,H,2007-08-12,Newcastle,Birmingham
