model,accuracy,roc_auc,precision,recall,f1_score
LogisticRegression,0.6703703703703704,0.7292896352096752,0.6689758280668191,0.6703703703703704,0.6692702782464474
SVM,0.6785185185185185,0.7239091945111507,0.6783356990897407,0.6785185185185185,0.6718612676448498
XGBoost,0.6674074074074074,0.7203459299032098,0.6654773952783902,0.6674074074074074,0.6653227416810907
LightGBM,0.6659259259259259,0.7183665852862052,0.6640803599175071,0.6659259259259259,0.6641179799100313
RandomForest,0.6725925925925926,0.7182177456797638,0.6713728038684409,0.6725925925925926,0.6716919829977986
