model,accuracy,roc_auc,precision,recall,f1_score
RandomForest,0.5318518518518518,0.6769804322636156,0.5192384823554381,0.5318518518518518,0.5234223346699058
LogisticRegression,0.5511111111111111,0.6768182192725615,0.48920787256998827,0.5511111111111111,0.48314913702939977
XGBoost,0.5422222222222223,0.6597405770365682,0.5124367137226855,0.5422222222222223,0.5132356331222477
LightGBM,0.5444444444444444,0.6562031469893369,0.5121303394757305,0.5444444444444444,0.515134166698625
SVM,0.5481481481481482,0.6498531488164295,0.42617668326132835,0.5481481481481482,0.47370343697835754
